Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1322,Rominigue Kouamé,MLI,2,Troyes,Ligue 1,26,1996,20,20,1701,18.9,0,0.9,0.16,17.6,0.0,0.0,21.8,0.0,0.0,0.0,40.6,45.9,88.5,720.2,193.1,16.7,18.1,92.4,19.0,21.2,89.8,3.7,4.6,80.5,0.05,0.74,5.29,0.37,0.11,5.98,45.9,45.6,0.21,0.21,0.11,0.53,0.21,0.0,0.0,0.0,0.0,0.0,40.6,0.11,0.58,2.28,2.06,0.0,0.11,0.05,0.05,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,1.27,0.85,0.9,0.26,0.11,0.48,1.06,45.0,0.58,1.11,0.42,0.69,1.9,3.17,1.53,0.0,56.7,4.29,17.1,32.7,8.41,0.63,56.7,2.38,1.48,62.2,0.63,26.7,45.0,293.9,132.8,2.33,1.8,0.16,1.32,1.06,39.4,1.16,0.21,0.0,0.0,1.64,1.85,0.0,0.21,0.85,0.0,0.0,0.0,7.88,0.37,0.69,35.0
2329,Matìas Soulé,ARG,2,Juventus,Serie A,19,2003,9,2,238,2.6,0,1.92,1.15,60.0,0.0,0.0,20.6,0.0,0.0,0.0,35.0,42.7,82.0,586.2,117.7,20.4,22.3,91.4,9.23,11.9,77.4,5.0,6.92,72.2,0.0,2.69,1.92,0.77,0.38,3.08,42.7,38.1,4.62,0.38,0.0,1.15,2.31,3.46,0.77,0.77,0.0,0.0,35.0,0.0,1.15,5.77,3.08,0.38,1.15,0.38,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,1.15,0.38,0.38,0.77,0.77,1.15,66.7,0.38,1.15,0.0,1.15,0.77,2.31,0.38,0.0,56.9,0.38,8.46,23.5,25.4,3.08,56.9,5.77,2.31,40.0,2.69,46.7,36.2,253.1,122.7,3.46,2.31,1.15,3.08,1.54,40.0,10.4,0.0,0.0,0.0,1.15,1.92,0.0,2.31,1.15,0.0,0.0,0.0,5.0,0.77,3.08,20.0
1101,Rico Henry,ENG,1,Brentford,Premier League,25,1997,21,21,1885,20.9,0,0.48,0.1,20.0,0.0,0.0,18.8,0.0,0.0,0.0,22.1,30.8,71.7,336.1,113.3,12.5,14.6,85.6,7.27,10.2,71.0,1.53,3.97,38.6,0.1,0.62,1.82,0.96,0.43,2.87,30.8,27.1,3.54,0.0,0.19,0.1,2.25,3.54,0.0,0.0,0.0,0.0,22.1,0.14,0.53,1.05,0.96,0.0,0.0,0.05,0.0,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.67,0.81,0.67,0.72,0.29,0.62,0.96,65.0,0.33,0.96,0.29,0.67,0.77,2.44,2.49,0.05,42.1,3.59,13.0,16.0,13.8,1.05,42.1,1.24,0.62,50.0,0.43,34.6,19.8,98.3,49.8,1.48,1.05,0.38,1.63,1.39,20.6,3.44,0.0,0.0,0.0,0.72,1.0,0.05,2.25,0.81,0.0,0.0,0.0,5.07,0.96,1.63,37.0
2422,Arthur Theate,BEL,1,Rennes,Ligue 1,22,2000,22,22,1972,21.9,2,0.55,0.23,41.7,0.17,0.4,8.5,0.0,0.0,0.0,65.9,73.2,90.1,1329.3,448.5,18.3,19.5,93.7,39.0,41.9,93.2,7.4,9.63,76.8,0.0,0.27,7.03,0.09,0.0,7.12,73.2,71.9,1.19,0.87,0.0,0.32,0.0,0.23,0.0,0.0,0.0,0.0,65.9,0.05,0.46,0.78,0.73,0.0,0.0,0.0,0.0,0.05,0.09,0.09,0.0,0.0,0.0,0.0,0.0,1.0,0.64,0.64,0.27,0.09,0.68,1.0,68.2,0.32,0.59,0.32,0.27,0.82,1.83,3.06,0.05,81.1,5.94,30.9,46.8,3.79,0.91,81.1,0.5,0.23,45.5,0.27,54.5,66.4,391.2,216.1,0.96,1.0,0.0,0.5,0.23,62.1,0.05,0.14,0.0,0.0,0.78,0.37,0.0,0.0,0.64,0.0,0.05,0.05,4.93,1.78,1.42,55.7
1092,Dean Henderson,ENG,0,Nott'ham Forest,Premier League,25,1997,18,18,1620,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,37.3,63.3,696.8,491.0,4.44,4.44,100.0,10.3,10.4,98.9,8.83,22.2,39.8,0.0,0.0,0.61,0.06,0.0,0.0,37.3,25.3,11.9,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.11,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.06,39.7,33.3,39.5,0.28,0.0,0.0,39.7,0.0,0.0,0.0,0.0,0.0,22.1,124.6,69.2,0.0,0.0,0.0,0.06,0.0,17.7,0.0,0.11,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.61,0.06,0.0,100.0
33,Naouirou Ahamada,FRA,2,Stuttgart,Bundesliga,20,2002,17,17,1398,15.5,2,1.03,0.32,31.3,0.13,0.4,22.1,0.0,0.0,0.0,29.0,34.1,84.9,449.4,106.5,14.4,15.6,92.1,12.1,13.2,91.7,1.35,2.58,52.5,0.13,0.97,2.45,0.45,0.13,3.61,34.1,33.2,0.84,0.26,0.13,0.06,0.39,0.32,0.0,0.0,0.0,0.0,29.0,0.13,0.84,2.45,2.0,0.0,0.19,0.13,0.06,0.06,0.45,0.45,0.0,0.0,0.0,0.0,0.0,1.1,0.71,0.45,0.45,0.19,0.52,1.29,40.0,0.77,1.03,0.32,0.71,0.52,1.61,0.45,0.0,43.5,1.16,8.97,25.0,10.3,1.42,43.5,2.71,1.16,42.9,1.29,47.6,26.3,192.4,97.5,2.77,1.74,0.39,2.19,0.71,29.2,3.48,0.26,0.06,0.06,1.03,1.1,0.06,0.39,0.71,0.0,0.06,0.0,5.68,0.45,1.03,30.4
1511,Lovro Majer,CRO,2,Rennes,Ligue 1,25,1998,17,9,801,8.9,1,1.8,0.34,18.8,0.0,0.0,22.9,0.45,0.11,0.11,43.9,55.3,79.5,747.4,189.0,19.3,23.1,83.5,18.3,20.9,87.6,4.38,7.08,61.9,0.22,2.02,4.83,2.25,0.67,7.87,55.3,51.0,3.82,1.46,0.0,0.0,4.38,0.45,1.91,0.79,0.56,0.0,43.9,0.45,2.58,3.82,2.25,0.56,0.11,0.34,0.45,0.11,0.34,0.11,0.22,0.0,0.0,0.0,0.0,2.02,0.79,0.9,0.79,0.34,0.34,1.24,27.3,0.9,1.12,0.0,1.12,1.57,3.6,0.45,0.11,67.2,1.01,7.64,31.2,29.6,2.7,67.1,2.7,1.24,45.8,1.24,45.8,52.1,351.6,167.1,2.92,3.71,0.22,2.7,1.57,47.5,6.29,0.22,0.0,0.0,2.81,1.69,0.0,4.38,0.79,0.0,0.0,0.0,7.53,0.11,0.22,33.3
943,Yannick Gerhardt,GER,2,Wolfsburg,Bundesliga,28,1994,15,12,973,10.8,4,1.57,0.74,47.1,0.24,0.5,12.6,0.0,0.0,0.0,22.9,30.8,74.2,376.8,124.5,12.2,14.5,84.1,8.43,10.7,78.4,1.76,3.06,57.6,0.09,0.93,3.06,0.37,0.09,4.26,30.8,29.4,1.11,0.37,0.09,0.19,0.46,0.19,0.0,0.0,0.0,0.0,22.9,0.37,1.2,2.31,1.57,0.0,0.0,0.28,0.37,0.09,0.46,0.37,0.0,0.0,0.0,0.09,0.0,1.57,0.83,0.56,0.56,0.46,0.56,1.3,42.9,0.74,1.11,0.19,0.93,0.28,1.85,1.02,0.0,39.9,1.76,8.24,21.0,10.8,2.59,39.9,0.74,0.09,12.5,0.65,87.5,21.9,93.6,39.4,0.56,0.56,0.09,1.02,0.65,25.0,3.52,0.19,0.0,0.0,1.2,1.02,0.09,0.46,0.83,0.0,0.09,0.0,4.35,0.93,2.31,28.6
565,Nicolas Cozza,FRA,1,Montpellier,Ligue 1,24,1999,17,14,1277,14.2,2,0.49,0.28,57.1,0.29,0.5,10.0,0.0,0.0,0.0,30.2,41.7,72.5,522.3,223.2,14.4,17.5,82.3,12.8,16.5,77.4,2.11,4.93,42.9,0.07,0.49,1.9,0.49,0.21,3.38,41.7,35.1,6.34,0.56,0.07,0.14,0.99,5.77,0.0,0.0,0.0,0.0,30.2,0.28,1.13,1.27,1.06,0.0,0.07,0.07,0.07,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,2.68,1.48,1.9,0.63,0.14,1.83,2.54,72.2,0.7,0.77,0.35,0.42,1.48,4.15,2.46,0.07,52.6,4.65,20.4,23.2,9.37,1.34,52.6,1.06,0.35,33.3,0.56,53.3,31.5,193.0,96.3,1.41,1.13,0.21,1.27,0.28,28.7,2.39,0.21,0.0,0.0,0.56,1.34,0.21,0.99,1.48,0.0,0.0,0.0,4.37,1.48,1.62,47.7
1188,Marin Jakoli,CRO,3,Angers,Ligue 1,26,1996,1,0,28,0.3,0,6.67,3.33,50.0,0.0,0.0,12.7,0.0,0.0,0.0,13.3,23.3,57.1,210.0,103.3,3.33,3.33,100.0,10.0,16.7,60.0,0.0,3.33,0.0,0.0,0.0,3.33,0.0,0.0,10.0,23.3,20.0,3.33,0.0,0.0,0.0,6.67,0.0,3.33,0.0,3.33,0.0,13.3,0.0,0.0,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,46.7,0.0,3.33,10.0,33.3,10.0,46.7,6.67,0.0,0.0,6.67,100.0,36.7,263.3,113.3,6.67,0.0,3.33,3.33,3.33,36.7,6.67,0.0,0.0,0.0,3.33,0.0,0.0,6.67,3.33,0.0,0.0,0.0,3.33,0.0,3.33,0.0
